"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID"
"Corey Clement","PHI","CIN","RB","$4000","0.6","-10.3","1%","15457080"
"Khari Blasingame","TEN","MIN","RB","$4000","0.5","-10.4","0%","15457056"
"Parris Campbell","IND","NYJ","WR","$4100","0.6","-10.5","0%","15457226"
"D'Ernest Johnson","CLE","WAS","RB","$4000","0.2","-10.7","0%","15457038"
"Ty Johnson","DET","ARI","RB","$4000","0.3","-10.7","0%","15457002"
"Breshad Perriman","NYJ","IND","WR","$3900","0.0","-10.7","1%","15457248"
"Jalen Reagor","PHI","CIN","WR","$4200","0.0","-11.3","1%","15457222"
"Henry Ruggs III","LV","NE","WR","$5000","0.4","-12.5","3%","15457194"
"Sterling Shepard","NYG","SF","WR","$5300","0.2","-13.3","1%","15457176"
"Jamison Crowder","NYJ","IND","WR","$5300","0.0","-13.5","1%","15457174"
"A.J. Brown","TEN","MIN","WR","$6000","0.2","-14.7","1%","15457150"
"George Kittle","SF","NYG","TE","$6300","0.1","-15.4","1%","15457470"
