Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
2;2020;2994;Coleman, Tevin;RB;sfo;a;nyj;6;4000
2;2020;2933;Hyde, Carlos;RB;sea;h;nwe;5.7;4200
2;2020;2899;Murray, Latavius;RB;nor;a;lvr;5.3;4500
2;2020;5586;McKissic, J.D.;RB;was;a;ari;5.3;4100
2;2020;5567;Breida, Matt;RB;mia;h;buf;4.9;4500
2;2020;5441;Brown, Malcolm;RB;lar;a;phi;4.7;5700
2;2020;5392;Montgomery, Ty;RB;nor;a;lvr;4.5;4000
2;2020;5608;Hill, Brian;RB;atl;a;dal;4.5;4000
2;2020;5619;Edmonds, Chase;RB;ari;h;was;4.3;4600
2;2020;2553;Peterson, Adrian;RB;det;a;gnb;4.1;4700
2;2020;5625;Wilkins, Jordan;RB;ind;h;min;4;4000
2;2020;5628;Ballage, Kalen;RB;nyj;h;sfo;3.7;0
2;2020;5564;Cohen, Tarik;RB;chi;h;nyg;3.7;4800
2;2020;5824;Moss, Zack;RB;buf;a;mia;3.7;4800
2;2020;5614;Barkley, Saquon;RB;nyg;a;chi;2.8;8400
2;2020;5720;Mattison, Alexander;RB;min;a;ind;2.6;4300
2;2020;2908;Juszczyk, Kyle;RB;sfo;a;nyj;2.6;4000
2;2020;5644;Armah, Alex;RB;car;a;tam;2.4;4000
2;2020;5708;Williams, Darrel;RB;kan;a;lac;2.2;4000
2;2020;5744;Thompson, Darwin;RB;kan;a;lac;2.1;4000
2;2020;5738;Homer, Travis;RB;sea;h;nwe;2.1;4000
2;2020;5658;Smith, Ito;RB;atl;a;dal;2;4000
2;2020;5620;Freeman, Royce;RB;den;a;pit;2;4000
2;2020;5718;Pollard, Tony;RB;dal;h;atl;1.9;4900
2;2020;5615;Michel, Sony;RB;nwe;a;sea;1.9;4300
2;2020;5825;Dillon, AJ;RB;gnb;h;det;1.7;4000
2;2020;5863;Perine, La'Mical;RB;nyj;h;sfo;1.7;4000
2;2020;5468;Booker, Devontae;RB;lvr;h;nor;1.5;4000
2;2020;5623;Hines, Nyheim;RB;ind;h;min;1.4;5300
2;2020;5688;Samuels, Jaylen;RB;pit;h;den;1.4;4000
2;2020;5470;Ervin, Tyler;RB;gnb;h;det;1.4;4000
2;2020;5492;Smith, Keith;RB;atl;a;dal;1.3;4000
2;2020;5819;Akers, Cam;RB;lar;a;phi;1.3;4500
2;2020;5815;Nall, Ryan;RB;chi;h;nyg;1.2;4000
2;2020;5482;Janovich, Andy;RB;cle;h;cin;1;4000
2;2020;2974;Perry, Senorise;RB;ten;h;jac;0.9;4000
2;2020;5542;McNichols, Jeremy;RB;ten;h;jac;0.7;0
2;2020;5581;Ham, C.J.;RB;min;a;ind;0.4;4000
2;2020;5703;Wilson Jr., Jeff;RB;sfo;a;nyj;0.3;4000
2;2020;5507;Barber, Peyton;RB;was;a;ari;0.1;4400
2;2020;5740;Snell, Benny;RB;pit;h;den;0.1;4500
2;2020;5662;Boone, Mike;RB;min;a;ind;0;4000
2;2020;5415;Burton, Michael;RB;nor;a;lvr;0;4000
2;2020;5663;Bellore, Nick;RB;sea;h;nwe;0;4000
2;2020;2834;Miller, Bruce;RB;jac;a;ten;0;4000
2;2020;5800;Blasingame, Khari;RB;ten;h;jac;0;4000
2;2020;5762;Gillaspia, Cullen;RB;hou;h;bal;0;4000
2;2020;5495;Foster, D.J.;RB;ari;h;was;0;4000
2;2020;5737;Cox, Chandler;RB;mia;h;buf;0;4000
2;2020;5588;Penny, Elijhaa;RB;nyg;a;chi;0;4000
2;2020;2995;Abdullah, Ameer;RB;min;a;ind;0;4000
2;2020;5742;Johnson, Ty;RB;det;a;gnb;0;4000
2;2020;2822;Sherman, Anthony;RB;kan;a;lac;0;4000
2;2020;5788;Laird, Patrick;RB;mia;h;buf;0;4000
2;2020;5746;Johnson, D'Ernest;RB;cle;h;cin;0;4000
2;2020;5763;Howell, Buddy;RB;hou;h;bal;0;4000
2;2020;5504;Watt, Derek;RB;pit;h;den;0;4000
2;2020;5697;Ogunbowale, Dare;RB;jac;a;ten;0;4000
2;2020;5823;Vaughn, Ke'Shawn;RB;tam;h;car;0;4000
2;2020;5661;Adams, Josh;RB;nyj;h;sfo;0;4400
2;2020;2820;Jones, Taiwan;RB;buf;a;mia;0;4000
2;2020;5538;Perine, Samaje;RB;cin;a;cle;0;4000
2;2020;5583;Clement, Corey;RB;phi;h;lar;0;4600
2;2020;5657;Cannon, Trenton;RB;car;a;tam;0;4000
2;2020;5850;Taylor, J.J.;RB;nwe;a;sea;-0.1;4000
2;2020;5631;Ridley, Calvin;WR;atl;a;dal;32.9;6800
2;2020;5424;Diggs, Stefon;WR;buf;a;mia;32.3;6500
2;2020;3826;Edelman, Julian;WR;nwe;a;sea;28.9;6200
2;2020;5757;McLaurin, Terry;WR;was;a;ari;28.5;5900
2;2020;5253;Evans, Mike;WR;tam;h;car;26.4;6400
2;2020;5754;Johnson, Diontae;WR;pit;h;den;23.2;4500
2;2020;5633;Moore, D.J.;WR;car;a;tam;23;6300
2;2020;5502;Anderson, Robby;WR;car;a;tam;21.9;5200
2;2020;5485;Hill, Tyreek;WR;kan;a;lac;21.8;7500
2;2020;5206;Hopkins, DeAndre;WR;ari;h;was;20.8;7700
2;2020;5831;Lamb, CeeDee;WR;dal;h;atl;20.5;4700
2;2020;5455;Boyd, Tyler;WR;cin;a;cle;20.2;5800
2;2020;5386;Lockett, Tyler;WR;sea;h;nwe;19.7;6300
2;2020;5725;Metcalf, D.K.;WR;sea;h;nwe;19.2;6000
2;2020;5376;Cooper, Amari;WR;dal;h;atl;19;6300
2;2020;5264;Brown, John;WR;buf;a;mia;18.2;6000
2;2020;5641;Berrios, Braxton;WR;nyj;h;sfo;17.9;3000
2;2020;5861;Claypool, Chase;WR;pit;h;den;17.8;3000
2;2020;5570;Cole, Keelan;WR;jac;a;ten;17.8;4300
2;2020;5323;Beckham Jr., Odell;WR;cle;h;cin;17.4;5600
2;2020;5198;Allen, Keenan;WR;lac;h;kan;16.6;5700
2;2020;5680;Gage, Russell;WR;atl;a;dal;16.6;4800
2;2020;5380;Parker, DeVante;WR;mia;h;buf;16.3;5900
2;2020;5412;Humphries, Adam;WR;ten;h;jac;15.8;3400
2;2020;5724;Harry, N'Keal;WR;nwe;a;sea;15.2;4200
2;2020;5706;Ford, Isaiah;WR;nwe;a;sea;14.6;3500
2;2020;5255;Cooks, Brandin;WR;hou;h;bal;14.5;4900
2;2020;5552;Kupp, Cooper;WR;lar;a;phi;14;6700
2;2020;5655;Moore, David;WR;sea;h;nwe;13.8;3500
2;2020;5639;Smith, Tre'Quan;WR;nor;a;lvr;13.6;4100
2;2020;5167;Hogan, Chris;WR;nyj;h;sfo;13.5;3200
2;2020;5531;Byrd, Damiere;WR;nwe;a;sea;13.2;3000
2;2020;5503;Thomas, Mike;WR;cin;a;cle;13.1;3000
2;2020;5550;Davis, Corey;WR;ten;h;jac;12.6;4000
2;2020;5857;Mooney, Darnell;WR;chi;h;nyg;12.6;3000
2;2020;3770;Jackson, DeSean;WR;phi;h;lar;12.4;5100
2;2020;5659;Chark, D.J.;WR;jac;a;ten;12.4;6000
2;2020;5168;Jones, Marvin;WR;det;a;gnb;12.3;5700
2;2020;5163;Beasley, Cole;WR;buf;a;mia;12;4700
2;2020;3501;Fitzgerald, Larry;WR;ari;h;was;12;4600
2;2020;5553;Smith-Schuster, JuJu;WR;pit;h;den;11.8;6500
2;2020;5217;Woods, Robert;WR;lar;a;phi;11.3;6400
2;2020;5125;Cobb, Randall;WR;hou;h;bal;10.9;4400
2;2020;5647;Pascal, Zach;WR;ind;h;min;10.9;3700
2;2020;5598;Bourne, Kendrick;WR;sfo;a;nyj;10.7;4900
2;2020;5847;Shenault Jr., Laviska;WR;jac;a;ten;10.2;4200
2;2020;5832;Jeudy, Jerry;WR;den;a;pit;10.2;4900
2;2020;3995;Tate, Golden;WR;nyg;a;chi;9.7;4900
2;2020;5637;Sutton, Courtland;WR;den;a;pit;9.6;6000
2;2020;5656;Valdes-Scantling, Marquez;WR;gnb;h;det;9.4;4600
2;2020;5595;Hall, Marvin;WR;det;a;gnb;9.4;3700
2;2020;5730;Brown, Marquise;WR;bal;a;hou;9.2;6200
2;2020;5853;Swain, Freddie;WR;sea;h;nwe;9.1;3000
2;2020;5385;Conley, Chris;WR;jac;a;ten;8.8;3600
2;2020;5842;Hamler, KJ;WR;den;a;pit;8.7;3000
2;2020;5734;Isabella, Andy;WR;ari;h;was;8.7;3700
2;2020;5557;Jones, Zay;WR;lvr;h;nor;8.5;3000
2;2020;5801;Guyton, Jalen;WR;lac;h;kan;8.4;3000
2;2020;5844;Jefferson, Van;WR;lar;a;phi;8.4;3000
2;2020;5852;Cephus, Quintez;WR;det;a;gnb;8.4;3800
2;2020;5834;Reagor, Jalen;WR;phi;h;lar;8.1;4100
2;2020;5636;Kirk, Christian;WR;ari;h;was;8;4300
2;2020;5748;Boykin, Miles;WR;bal;a;hou;7.8;4100
2;2020;5634;Gallup, Michael;WR;dal;h;atl;7.8;5600
2;2020;5837;Pittman Jr., Michael;WR;ind;h;min;7.7;3500
2;2020;5335;Landry, Jarvis;WR;cle;h;cin;7.6;5800
2;2020;5858;Davis, Gabriel;WR;buf;a;mia;7.6;3000
2;2020;5711;Lazard, Allen;WR;gnb;h;det;7.5;5300
2;2020;5835;Jefferson, Justin;WR;min;a;ind;7.4;4400
2;2020;5753;Sims Jr., Steven;WR;was;a;ari;7.3;4700
2;2020;5727;Hardman, Mecole;WR;kan;a;lac;7.3;3800
2;2020;5599;Malone, Josh;WR;nyj;h;sfo;6.8;3000
2;2020;5690;Watson, Justin;WR;tam;h;car;6.8;3500
2;2020;5761;Renfrow, Hunter;WR;lvr;h;nor;6.7;4600
2;2020;5574;McKenzie, Isaiah;WR;buf;a;mia;6.7;3000
2;2020;5263;Adams, Davante;WR;gnb;h;det;6.6;8100
2;2020;5839;Higgins, Tee;WR;cin;a;cle;6.5;3900
2;2020;5760;Harris, Deonte;WR;nor;a;lvr;6.4;3300
2;2020;5767;Slayton, Darius;WR;nyg;a;chi;6.3;5000
2;2020;5258;Robinson, Allen;WR;chi;h;nyg;6.3;6400
2;2020;5784;Board, C.J.;WR;nyg;a;chi;6.2;3000
2;2020;5854;Edwards, Bryan;WR;lvr;h;nor;6.2;3900
2;2020;5333;Thielen, Adam;WR;min;a;ind;6.1;7200
2;2020;5091;Green, A.J.;WR;cin;a;cle;5.9;6100
2;2020;5675;Hodge, KhaDarel;WR;cle;h;cin;5.9;3000
2;2020;5556;Samuel, Curtis;WR;car;a;tam;5.9;4700
2;2020;5515;Robinson, Demarcus;WR;kan;a;lac;5.8;3500
2;2020;5151;Hilton, T.Y.;WR;ind;h;min;5.8;5700
2;2020;5679;Batson, Cameron;WR;ten;h;jac;5.7;0
2;2020;5755;Williams, Preston;WR;mia;h;buf;5.6;4800
