Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
5;2020;1523;Mahomes II, Patrick;QB;kan;h;lvr;33.7;7700
5;2020;1242;Fitzpatrick, Ryan;QB;mia;a;sfo;30.6;5600
5;2020;1537;Murray, Kyler;QB;ari;a;nyj;30.3;7200
5;2020;1410;Tannehill, Ryan;QB;ten;h;buf;30;6000
5;2020;1518;Watson, Deshaun;QB;hou;h;jac;29.86;6900
5;2020;1490;Goff, Jared;QB;lar;a;was;28.36;6500
5;2020;1441;Carr, Derek;QB;lvr;a;kan;27.98;5300
5;2020;1552;Herbert, Justin;QB;lac;a;nor;27.36;6000
5;2020;1412;Wilson, Russell;QB;sea;h;min;25.48;7600
5;2020;1151;Brees, Drew;QB;nor;h;lac;25.1;6100
5;2020;1540;Minshew, Gardner;QB;jac;a;hou;23.84;6200
5;2020;1439;Bridgewater, Teddy;QB;car;a;atl;23.82;5900
5;2020;1232;Roethlisberger, Ben;QB;pit;h;phi;21.36;6600
5;2020;1514;Wentz, Carson;QB;phi;a;pit;19.42;5600
5;2020;1529;Allen, Josh;QB;buf;a;ten;18.32;7500
5;2020;1528;Mayfield, Baker;QB;cle;h;ind;17.58;5700
5;2020;1415;Cousins, Kirk;QB;min;a;sea;16.16;5900
5;2020;1527;Jackson, Lamar;QB;bal;h;cin;14.5;7900
5;2020;1501;Prescott, Dak;QB;dal;h;nyg;14.44;7400
5;2020;1131;Brady, Tom;QB;tam;a;chi;14.12;6300
5;2020;1302;Flacco, Joe;QB;nyj;h;ari;13.8;4800
5;2020;1413;Foles, Nick;QB;chi;h;tam;12.62;6000
5;2020;1536;Allen, Kyle;QB;was;h;lar;9.66;4100
5;2020;1539;Jones, Daniel;QB;nyg;a;dal;9.18;5400
5;2020;1301;Ryan, Matt;QB;atl;h;car;7.94;6100
5;2020;1231;Rivers, Philip;QB;ind;a;cle;7.62;5800
5;2020;1530;Hill, Taysom;QB;nor;h;lac;7.3;4100
5;2020;1520;Beathard, C.J.;QB;sfo;h;mia;6.76;5300
5;2020;1550;Burrow, Joe;QB;cin;a;bal;6.32;6000
5;2020;1403;Dalton, Andy;QB;dal;h;nyg;3.44;4100
5;2020;1254;Smith, Alex;QB;was;h;lar;1.58;4400
5;2020;1452;Garoppolo, Jimmy;QB;sfo;h;mia;1.08;5500
5;2020;1417;Barkley, Matt;QB;buf;a;ten;0.88;5000
5;2020;1554;Hurts, Jalen;QB;phi;a;pit;0.72;4200
5;2020;1408;Griffin III, Robert;QB;bal;h;cin;-0.1;4400
5;2020;5320;Davis, Mike;RB;car;a;atl;29.9;6400
5;2020;2992;Gurley, Todd;RB;atl;h;car;28;5700
5;2020;5714;Sanders, Miles;RB;phi;a;pit;23.9;6500
5;2020;5444;Elliott, Ezekiel;RB;dal;h;nyg;23.5;7800
5;2020;5712;Jacobs, Josh;RB;lvr;a;kan;22.5;6300
5;2020;5716;Henderson, Darrell;RB;lar;a;was;21.8;5300
5;2020;5619;Edmonds, Chase;RB;ari;a;nyj;20.2;4700
5;2020;5789;Gaskin, Myles;RB;mia;a;sfo;20.1;4800
5;2020;5565;Carson, Chris;RB;sea;h;min;19.9;6400
5;2020;5562;Kamara, Alvin;RB;nor;h;lac;19.9;8200
5;2020;5559;Cook, Dalvin;RB;min;a;sea;19.9;7600
5;2020;5720;Mattison, Alexander;RB;min;a;sea;19.6;4000
5;2020;5445;Henry, Derrick;RB;ten;h;buf;19.3;7000
5;2020;5713;Montgomery, David;RB;chi;h;tam;18.9;5400
5;2020;5617;Jones, Ronald;RB;tam;a;chi;18.5;5800
5;2020;5560;Hunt, Kareem;RB;cle;h;ind;18.3;6500
5;2020;2930;Freeman, Devonta;RB;nyg;a;dal;16.7;4600
5;2020;5535;Mixon, Joe;RB;cin;a;bal;15.4;6300
