PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,FPTS,FPTS/$,FLOOR,CEIL
18429,Kansas City Chiefs,2500.00,BUF,DST,KCC,72662,5.34,2.14,0.8,11.0
18424,Detroit Lions,3000.00,JAC,DST,DET,72659,5.12,1.71,0.8,10.8
18421,Cleveland Browns,2700.00,PIT,DST,CLE,72660,4.86,1.8,0.7,10.5
18415,Arizona Cardinals,3000.00,DAL,DST,ARI,72658,4.77,1.59,0.8,10.6
18420,Cincinnati Bengals,2100.00,IND,DST,CIN,72654,4.62,2.2,0.4,10.4
18443,Tampa Bay Buccaneers,3100.00,GBP,DST,TBB,72651,4.51,1.45,1.0,9.8
18428,Jacksonville Jaguars,2800.00,DET,DST,JAC,72659,4.28,1.53,0.7,9.4
18423,Denver Broncos,3500.00,NEP,DST,DEN,72888,4.19,1.2,0.5,9.1
18426,Houston Texans,2700.00,TEN,DST,HOU,72652,4.12,1.53,0.5,9.2
18440,San Francisco 49ers,3100.00,LAR,DST,SFO,72657,4.04,1.3,0.0,9.0
18437,Philadelphia Eagles,2600.00,BAL,DST,PHI,72663,3.68,1.42,0.4,8.8
18435,New York Jets,2400.00,MIA,DST,NYJ,72887,3.68,1.53,0.0,8.9
18417,Buffalo Bills,2600.00,KCC,DST,BUF,72662,3.67,1.41,0.1,8.6
18416,Atlanta Falcons,2200.00,MIN,DST,ATL,72655,3.65,1.66,0.3,8.9
328361,Jason Sanders,3600.00,NYJ,K,MIA,72887,8.50,2.36,&nbsp;,&nbsp;
13611,Justin Tucker,9000.00,PHI,K,BAL,72663,8.47,0.94,&nbsp;,&nbsp;
36996,,,,,,,8.43,0.0,&nbsp;,&nbsp;
13163,Dan Bailey,4200.00,ATL,K,MIN,72655,8.27,1.97,&nbsp;,&nbsp;
11545,,,,,,,8.24,0.0,&nbsp;,&nbsp;
1844484,,,,,,,8.23,0.0,&nbsp;,&nbsp;
11559,Matt Prater,4400.00,JAC,K,DET,72659,8.16,1.85,&nbsp;,&nbsp;
11555,,,,,,,8.15,0.0,&nbsp;,&nbsp;
1849792,Sam Sloman,4000.00,SFO,K,LAR,72657,8.08,2.02,&nbsp;,&nbsp;
18159,Chris Boswell,4200.00,CLE,K,PIT,72660,8.05,1.92,&nbsp;,&nbsp;
11537,Mason Crosby,3800.00,TBB,K,GBP,72651,7.99,2.1,&nbsp;,&nbsp;
36842,,,,,,,7.96,0.0,&nbsp;,&nbsp;
11547,Ryan Succop,3600.00,GBP,K,TBB,72651,7.77,2.16,&nbsp;,&nbsp;
13602,,,,,,,7.74,0.0,&nbsp;,&nbsp;
1844329,,,,,,,7.54,0.0,&nbsp;,&nbsp;
14020,,,,,,,7.51,0.0,&nbsp;,&nbsp;
&nbsp;,,,,,,,7.49,0.0,&nbsp;,&nbsp;
1001711,,,,,,,7.42,0.0,&nbsp;,&nbsp;
11550,Robbie Gould,3800.00,LAR,K,SFO,72657,7.41,1.95,&nbsp;,&nbsp;
37033,Younghoe Koo,4000.00,MIN,K,ATL,72655,7.38,1.85,&nbsp;,&nbsp;
35506,,,,,,,7.35,0.0,&nbsp;,&nbsp;
18232,Cody Parkey,4000.00,PIT,K,CLE,72660,7.27,1.82,&nbsp;,&nbsp;
18324,,,,,,,7.20,0.0,&nbsp;,&nbsp;
18120,,,,,,,6.95,0.0,&nbsp;,&nbsp;
16620,,,,,,,6.55,0.0,&nbsp;,&nbsp;
18228,,,,,,,6.47,0.0,&nbsp;,&nbsp;
35524,Sam Ficken,3200.00,MIA,K,NYJ,72887,6.39,2.0,&nbsp;,&nbsp;
36831,Jake Elliott,8500.00,BAL,K,PHI,72663,6.36,0.75,&nbsp;,&nbsp;
