Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
3;2020;1523;Mahomes II, Patrick;QB;kan;a;bal;43;7400
3;2020;1412;Wilson, Russell;QB;sea;h;dal;39.8;7300
3;2020;1529;Allen, Josh;QB;buf;h;lar;36.24;6900
3;2020;1501;Prescott, Dak;QB;dal;a;sea;33.48;7200
3;2020;1490;Goff, Jared;QB;lar;a;buf;31.24;5600
3;2020;1242;Fitzpatrick, Ryan;QB;mia;a;jac;25.2;5300
3;2020;1537;Murray, Kyler;QB;ari;h;det;24.7;6800
3;2020;1252;Rodgers, Aaron;QB;gnb;a;nor;24.52;6500
3;2020;1131;Brady, Tom;QB;tam;a;den;23.88;6100
3;2020;1151;Brees, Drew;QB;nor;h;gnb;23.52;6200
3;2020;1514;Wentz, Carson;QB;phi;h;cin;23.5;5800
3;2020;1550;Burrow, Joe;QB;cin;a;phi;23.38;6200
3;2020;1415;Cousins, Kirk;QB;min;h;ten;21.44;5500
3;2020;1534;Mullens, Nick;QB;sfo;a;nyg;20.72;5100
3;2020;1552;Herbert, Justin;QB;lac;h;car;19.7;5900
3;2020;1232;Roethlisberger, Ben;QB;pit;h;hou;19.18;6400
3;2020;1340;Stafford, Matthew;QB;det;a;ari;18.5;6300
3;2020;1413;Foles, Nick;QB;chi;a;atl;18.22;5000
3;2020;1518;Watson, Deshaun;QB;hou;a;pit;18.06;6500
3;2020;1441;Carr, Derek;QB;lvr;a;nwe;17.44;5400
3;2020;1410;Tannehill, Ryan;QB;ten;a;min;16.74;5900
3;2020;1527;Jackson, Lamar;QB;bal;h;kan;15.18;7800
3;2020;1439;Bridgewater, Teddy;QB;car;a;lac;14.6;5200
3;2020;1528;Mayfield, Baker;QB;cle;h;was;14.34;5700
3;2020;1538;Haskins, Dwayne;QB;was;a;cle;13.16;5200
3;2020;1231;Rivers, Philip;QB;ind;h;nyj;12.68;6000
3;2020;1519;Trubisky, Mitchell;QB;chi;a;atl;12.62;5700
3;2020;1301;Ryan, Matt;QB;atl;h;chi;12.42;6600
3;2020;1378;Newton, Cam;QB;nwe;h;lvr;12.18;6700
3;2020;1494;Driskel, Jeff;QB;den;h;tam;11.44;5300
3;2020;1540;Minshew, Gardner;QB;jac;h;mia;11.2;6400
3;2020;1539;Jones, Daniel;QB;nyg;h;sfo;10.06;5500
3;2020;1524;Darnold, Sam;QB;nyj;a;ind;9.72;5000
3;2020;1555;Rypien, Brett;QB;den;h;tam;1.12;0
3;2020;1554;Hurts, Jalen;QB;phi;h;cin;0.8;4200
3;2020;1530;Hill, Taysom;QB;nor;h;gnb;0.7;4100
3;2020;1496;Brissett, Jacoby;QB;ind;h;nyj;0.68;5000
3;2020;1553;Streveler, Chris;QB;ari;h;det;0;4100
3;2020;1545;Finley, Ryan;QB;cin;a;phi;0;4900
3;2020;5562;Kamara, Alvin;RB;nor;h;gnb;47.7;7900
3;2020;2890;Burkhead, Rex;RB;nwe;h;lvr;34.8;4000
3;2020;5575;Ekeler, Austin;RB;lac;h;car;31.3;6800
3;2020;5849;Robinson, James;RB;jac;h;mia;30.9;5400
3;2020;5445;Henry, Derrick;RB;ten;a;min;30;7800
3;2020;5559;Cook, Dalvin;RB;min;h;ten;29.9;7600
3;2020;5537;Conner, James;RB;pit;h;hou;27.9;6700
3;2020;5622;Chubb, Nick;RB;cle;h;was;27;6900
3;2020;5320;Davis, Mike;RB;car;a;lac;23.1;5100
3;2020;5716;Henderson, Darrell;RB;lar;a;buf;22;5400
3;2020;5703;Wilson Jr., Jeff;RB;sfo;a;nyg;21.9;4000
3;2020;5615;Michel, Sony;RB;nwe;h;lvr;19;4400
