"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID"
"Alvin Kamara","NO","DET","RB","$8000","26.6","7.8","36%","15512493"
"Ezekiel Elliott","DAL","CLE","RB","$7800","24.5","6.1","28%","15512495"
"Deshaun Watson","HOU","MIN","QB","$6600","25.3","4.9","11%","15512432"
"DJ Moore","CAR","ARI","WR","$5600","18.4","4.4","28%","15512789"
"Tyler Lockett","SEA","MIA","WR","$7000","20.5","3.7","28%","15512743"
"Josh Allen","BUF","LV","QB","$7300","26.1","3.6","11%","15512428"
"Mike Davis","CAR","ARI","RB","$5700","17.8","3.5","19%","15512527"
"Dalvin Cook","MIN","HOU","RB","$7600","21.6","3.5","11%","15512497"
"Dak Prescott","DAL","CLE","QB","$7200","25.3","3.1","7%","15512429"
"Mike Evans","TB","LAC","WR","$6400","18.7","3.0","19%","15512765"
"Will Fuller V","HOU","MIN","WR","$5900","17.5","2.8","15%","15512779"
"Clyde Edwards-Helaire","KC","NE","RB","$6400","18.5","2.8","19%","15512513"
"Ryan Fitzpatrick","MIA","SEA","QB","$5400","19.6","2.8","11%","15512448"
"Cam Newton","NE","KC","QB","$6400","22.6","2.8","7%","15512434"
"Amari Cooper","DAL","CLE","WR","$6700","18.9","2.7","11%","15512755"
"Kyler Murray","ARI","CAR","QB","$7000","24.2","2.6","7%","15512430"
"Patrick Mahomes","KC","NE","QB","$7400","25.4","2.6","7%","15512427"
"Joe Mixon","CIN","JAX","RB","$5800","17.0","2.5","11%","15512525"
"Odell Beckham Jr.","CLE","DAL","WR","$5800","17.0","2.5","11%","15512783"
"Adam Thielen","MIN","HOU","WR","$6600","18.5","2.5","11%","15512759"
"Lamar Jackson","BAL","WAS","QB","$8100","27.3","2.4","7%","15512425"
"Brandin Cooks","HOU","MIN","WR","$4500","14.4","2.4","23%","15512837"
"Tyreek Hill","KC","NE","WR","$6900","19.1","2.4","7%","15512745"
"Kenny Golladay","DET","NO","WR","$6000","17.2","2.3","19%","15512777"
"DeAndre Hopkins","ARI","CAR","WR","$8500","22.0","2.2","3%","15512739"
"DK Metcalf","SEA","MIA","WR","$6800","18.7","2.2","23%","15512747"
"Matthew Stafford","DET","NO","QB","$5900","20.4","2.1","3%","15512439"
"Darren Waller","LV","BUF","TE","$5200","15.4","2.1","11%","15513101"
"Stefon Diggs","BUF","LV","WR","$6800","18.5","2.0","11%","15512749"
"Josh Jacobs","LV","BUF","RB","$6800","18.5","2.0","7%","15512507"
"Drew Brees","NO","DET","QB","$5800","20.0","2.0","1%","15512440"
"Ronald Jones II","TB","LAC","RB","$4700","14.3","2.0","11%","15512555"
"Jonathan Taylor","IND","CHI","RB","$6600","17.9","1.9","7%","15512509"
"Travis Kelce","KC","NE","TE","$6800","18.3","1.9","11%","15513093"
"Julian Edelman","NE","KC","WR","$5700","16.1","1.8","7%","15512787"
"Adam Trautman","NO","DET","TE","$2500","9.7","1.8","11%","15513295"
"Tre'Quan Smith","NO","DET","WR","$5000","14.6","1.7","1%","15512815"
"Darrell Henderson Jr.","LA","NYG","RB","$5800","16.1","1.6","11%","15512523"
"Robby Anderson","CAR","ARI","WR","$5400","15.2","1.5","7%","15512797"
"CeeDee Lamb","DAL","CLE","WR","$5400","15.0","1.3","7%","15512799"
"Hunter Henry","LAC","TB","TE","$4600","13.4","1.3","7%","15513109"
"Russell Wilson","SEA","MIA","QB","$7800","25.4","1.3","15%","15512426"
"T.Y. Hilton","IND","CHI","WR","$5300","14.7","1.2","7%","15512801"
"N'Keal Harry","NE","KC","WR","$4000","12.2","1.2","7%","15512869"
"Kenyan Drake","ARI","CAR","RB","$6000","16.0","1.1","11%","15512519"
