Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
4;2020;1501;Prescott, Dak;QB;dal;h;cle;42.28;7200
4;2020;1131;Brady, Tom;QB;tam;h;lac;36.46;6100
4;2020;1252;Rodgers, Aaron;QB;gnb;h;atl;32.58;7100
4;2020;1439;Bridgewater, Teddy;QB;car;h;ari;27.24;5600
4;2020;1242;Fitzpatrick, Ryan;QB;mia;h;sea;26.3;5400
4;2020;1527;Jackson, Lamar;QB;bal;a;was;26.02;8100
4;2020;1529;Allen, Josh;QB;buf;a;lvr;25.42;7300
4;2020;1540;Minshew, Gardner;QB;jac;a;cin;24.94;5900
4;2020;1412;Wilson, Russell;QB;sea;a;mia;24.9;7800
4;2020;1441;Carr, Derek;QB;lvr;h;buf;24.44;5300
4;2020;1537;Murray, Kyler;QB;ari;a;car;24.12;7000
4;2020;1552;Herbert, Justin;QB;lac;a;tam;24;5800
4;2020;1518;Watson, Deshaun;QB;hou;h;min;23.9;6600
4;2020;1524;Darnold, Sam;QB;nyj;h;den;23.6;5300
4;2020;1340;Stafford, Matthew;QB;det;h;nor;23.34;5900
4;2020;1514;Wentz, Carson;QB;phi;a;sfo;22.42;5600
4;2020;1538;Haskins, Dwayne;QB;was;h;bal;21.86;5000
4;2020;1523;Mahomes II, Patrick;QB;kan;h;nwe;20.24;7400
4;2020;1550;Burrow, Joe;QB;cin;h;jac;19.1;6300
4;2020;1151;Brees, Drew;QB;nor;a;det;16.54;5800
4;2020;1528;Mayfield, Baker;QB;cle;a;dal;15.2;5800
4;2020;1415;Cousins, Kirk;QB;min;a;hou;14.9;5600
4;2020;1555;Rypien, Brett;QB;den;a;nyj;14.18;5500
4;2020;1413;Foles, Nick;QB;chi;h;ind;12.86;5700
4;2020;1301;Ryan, Matt;QB;atl;a;gnb;12.4;6000
4;2020;1490;Goff, Jared;QB;lar;h;nyg;11.7;6700
4;2020;1231;Rivers, Philip;QB;ind;a;chi;11.2;5500
4;2020;1539;Jones, Daniel;QB;nyg;a;lar;11.1;5100
4;2020;1534;Mullens, Nick;QB;sfo;h;phi;9;5200
4;2020;1520;Beathard, C.J.;QB;sfo;h;phi;5.52;4700
4;2020;1542;Stidham, Jarrett;QB;nwe;a;kan;4.7;4800
4;2020;1336;Hoyer, Brian;QB;nwe;a;kan;4;4100
4;2020;1530;Hill, Taysom;QB;nor;a;det;2.4;4100
4;2020;1554;Hurts, Jalen;QB;phi;a;sfo;1.8;4100
4;2020;1494;Driskel, Jeff;QB;den;a;nyj;0.9;5500
4;2020;1302;Flacco, Joe;QB;nyj;h;den;0.64;4700
4;2020;1334;Daniel, Chase;QB;det;h;nor;0;4700
4;2020;1544;Boyle, Tim;QB;gnb;h;atl;-0.1;4300
4;2020;1408;Griffin III, Robert;QB;bal;a;was;-0.7;4300
4;2020;5535;Mixon, Joe;RB;cin;h;jac;45.1;5800
4;2020;5559;Cook, Dalvin;RB;min;a;hou;31.6;7600
4;2020;2991;Gordon, Melvin;RB;den;a;nyj;28.8;6900
4;2020;5565;Carson, Chris;RB;sea;a;mia;25;6300
4;2020;5827;Gibson, Antonio;RB;was;h;bal;22.8;4500
4;2020;2935;McKinnon, Jerick;RB;sfo;h;phi;22.7;5700
4;2020;5543;Jones, Aaron;RB;gnb;h;atl;22.1;7500
4;2020;5320;Davis, Mike;RB;car;h;ari;22.1;5700
4;2020;5617;Jones, Ronald;RB;tam;h;lac;21.8;4700
4;2020;5444;Elliott, Ezekiel;RB;dal;h;cle;21.5;7800
4;2020;2899;Murray, Latavius;RB;nor;a;det;21.3;4900
4;2020;5562;Kamara, Alvin;RB;nor;a;det;20.9;8000
4;2020;2992;Gurley, Todd;RB;atl;a;gnb;19.3;5500
4;2020;5560;Hunt, Kareem;RB;cle;a;dal;19.1;6200
4;2020;5717;Singletary, Devin;RB;buf;a;lvr;18.6;5900
4;2020;5541;Williams, Jamaal;RB;gnb;h;atl;18.5;4000
4;2020;5822;Swift, D'Andre;RB;det;h;nor;15.2;4300
4;2020;5735;Bonnafon, Reggie;RB;car;h;ari;15.1;4000
4;2020;5619;Edmonds, Chase;RB;ari;a;car;15;4200
4;2020;5849;Robinson, James;RB;jac;a;cin;14.7;6500
4;2020;5715;Harris, Damien;RB;nwe;a;kan;13;4000
4;2020;2954;White, James;RB;nwe;a;kan;12.9;5200
4;2020;5818;Edwards-Helaire, Clyde;RB;kan;h;nwe;12.1;6400
4;2020;5395;Johnson, David;RB;hou;h;min;11.2;5600
4;2020;2930;Freeman, Devonta;RB;nyg;a;lar;10.8;4800
4;2020;5713;Montgomery, David;RB;chi;h;ind;10.7;5500
4;2020;2793;Ingram, Mark;RB;bal;a;was;10.7;5700
4;2020;5441;Brown, Malcolm;RB;lar;h;nyg;10.6;4700
4;2020;5823;Vaughn, Ke'Shawn;RB;tam;h;lac;10.6;4000
4;2020;5586;McKissic, J.D.;RB;was;h;bal;10.6;4000
4;2020;5712;Jacobs, Josh;RB;lvr;h;buf;10.3;6800
4;2020;5718;Pollard, Tony;RB;dal;h;cle;10.2;4100
4;2020;5714;Sanders, Miles;RB;phi;a;sfo;9.6;6700
4;2020;2553;Peterson, Adrian;RB;det;h;nor;9.6;4700
4;2020;5746;Johnson, D'Ernest;RB;cle;a;dal;9.5;4000
4;2020;5789;Gaskin, Myles;RB;mia;h;sea;9.2;5000
4;2020;5820;Taylor, Jonathan;RB;ind;a;chi;8.9;6600
4;2020;5567;Breida, Matt;RB;mia;h;sea;7.8;4000
4;2020;5738;Homer, Travis;RB;sea;a;mia;7.8;4000
4;2020;5720;Mattison, Alexander;RB;min;a;hou;7.7;4000
4;2020;2997;Johnson, Duke;RB;hou;h;min;7.5;4000
4;2020;5623;Hines, Nyheim;RB;ind;a;chi;6.2;4700
4;2020;2890;Burkhead, Rex;RB;nwe;a;kan;6;4800
4;2020;5658;Smith, Ito;RB;atl;a;gnb;5.7;4000
4;2020;5829;Kelley, Joshua;RB;lac;a;tam;5.3;5100
4;2020;5764;Ingold, Alec;RB;lvr;h;buf;4.8;4000
4;2020;5716;Henderson, Darrell;RB;lar;h;nyg;4.8;5800
4;2020;2467;Gore, Frank;RB;nyj;h;den;4.6;4400
4;2020;5547;Gallman, Wayne;RB;nyg;a;lar;4.5;4500
4;2020;5873;Dallas, DeeJay;RB;sea;a;mia;4.3;4000
4;2020;5622;Chubb, Nick;RB;cle;a;dal;4.3;7000
4;2020;5608;Hill, Brian;RB;atl;a;gnb;4.3;4000
4;2020;5625;Wilkins, Jordan;RB;ind;a;chi;4.1;4000
4;2020;5682;Jackson, Justin;RB;lac;a;tam;4.1;4000
4;2020;5681;Edwards, Gus;RB;bal;a;was;3.8;4000
4;2020;2816;Lewis, Dion;RB;nyg;a;lar;3.8;4400
4;2020;5490;Richard, Jalen;RB;lvr;h;buf;3.6;4300
4;2020;5446;Drake, Kenyan;RB;ari;a;car;3.5;6000
4;2020;5620;Freeman, Royce;RB;den;a;nyj;3.2;4000
4;2020;5628;Ballage, Kalen;RB;nyj;h;den;3.1;4300
4;2020;5683;Hilliard, Dontrell;RB;cle;a;dal;3.1;0
4;2020;5703;Wilson Jr., Jeff;RB;sfo;h;phi;2.9;4900
4;2020;5821;Dobbins, J.K.;RB;bal;a;was;2.7;4800
4;2020;5575;Ekeler, Austin;RB;lac;a;tam;2.4;7100
4;2020;2908;Juszczyk, Kyle;RB;sfo;h;phi;2.3;4000
4;2020;5621;Johnson, Kerryon;RB;det;h;nor;2.2;4000
4;2020;2889;Bernard, Giovani;RB;cin;h;jac;1.9;4400
4;2020;5876;Nabers, Gabe;RB;lac;a;tam;1.9;4000
4;2020;5470;Ervin, Tyler;RB;gnb;h;atl;1.8;4000
4;2020;5415;Burton, Michael;RB;nor;a;det;1.7;4000
4;2020;2707;McCoy, LeSean;RB;tam;h;lac;1.6;4000
4;2020;5863;Perine, La'Mical;RB;nyj;h;den;1.5;4000
4;2020;5492;Smith, Keith;RB;atl;a;gnb;1.4;4000
4;2020;2907;Riddick, Theo;RB;lvr;h;buf;1.3;0
4;2020;5737;Cox, Chandler;RB;mia;h;sea;1.3;4000
4;2020;5447;Howard, Jordan;RB;mia;h;sea;0.9;4100
4;2020;5507;Barber, Peyton;RB;was;h;bal;0.5;4000
4;2020;5825;Dillon, AJ;RB;gnb;h;atl;0.3;4000
4;2020;5583;Clement, Corey;RB;phi;a;sfo;0.3;4000
4;2020;5581;Ham, C.J.;RB;min;a;hou;0.2;4000
4;2020;5708;Williams, Darrel;RB;kan;h;nwe;0.2;4000
4;2020;5644;Armah, Alex;RB;car;h;ari;0.2;4000
4;2020;5624;Scott, Boston;RB;phi;a;sfo;0.1;4000
4;2020;5744;Thompson, Darwin;RB;kan;h;nwe;0;4000
4;2020;2915;Thompson, Chris;RB;jac;a;cin;0;4100
4;2020;5662;Boone, Mike;RB;min;a;hou;0;4000
4;2020;5483;Washington, Dwayne;RB;nor;a;det;0;4000
4;2020;5719;Hill, Justice;RB;bal;a;was;0;4000
4;2020;5778;Johnson, Jakob;RB;nwe;a;kan;0;4000
4;2020;5663;Bellore, Nick;RB;sea;a;mia;0;4000
4;2020;2834;Miller, Bruce;RB;jac;a;cin;0;4000
4;2020;5815;Nall, Ryan;RB;chi;h;ind;0;4200
4;2020;5588;Penny, Elijhaa;RB;nyg;a;lar;0;4000
4;2020;2995;Abdullah, Ameer;RB;min;a;hou;0;4000
4;2020;2887;Barner, Kenjon;RB;tam;h;lac;0;4000
4;2020;2822;Sherman, Anthony;RB;kan;h;nwe;0;4000
4;2020;5788;Laird, Patrick;RB;mia;h;sea;0;4000
4;2020;5763;Howell, Buddy;RB;hou;h;min;0;4000
4;2020;5468;Booker, Devontae;RB;lvr;h;buf;0;4000
4;2020;5697;Ogunbowale, Dare;RB;jac;a;cin;0;4000
4;2020;2820;Jones, Taiwan;RB;buf;a;lvr;0;4000
4;2020;5448;Prosise, C.J.;RB;hou;h;min;0;4000
4;2020;5538;Perine, Samaje;RB;cin;h;jac;0;4000
4;2020;5743;Ricard, Patrick;RB;bal;a;was;0;4000
4;2020;5482;Janovich, Andy;RB;cle;a;dal;0;4000
4;2020;2993;Yeldon, T.J.;RB;buf;a;lvr;0;4000
4;2020;5865;Hasty, JaMycal;RB;sfo;h;phi;0;4000
4;2020;5866;Calais, Raymond;RB;lar;h;nyg;0;4000
4;2020;5323;Beckham Jr., Odell;WR;cle;a;dal;38.4;5800
4;2020;5376;Cooper, Amari;WR;dal;h;cle;36.4;6700
4;2020;5659;Chark, D.J.;WR;jac;a;cin;29.5;6000
4;2020;5333;Thielen, Adam;WR;min;a;hou;29.2;6600
4;2020;5253;Evans, Mike;WR;tam;h;lac;28.2;6400
4;2020;5651;Patrick, Tim;WR;den;a;nyj;26.3;3700
4;2020;5258;Robinson, Allen;WR;chi;h;ind;26.1;6700
4;2020;5454;Fuller, Will;WR;hou;h;min;25.8;5900
4;2020;5831;Lamb, CeeDee;WR;dal;h;cle;25.2;5400
4;2020;5757;McLaurin, Terry;WR;was;h;bal;24.8;5800
4;2020;5380;Parker, DeVante;WR;mia;h;sea;24;5700
4;2020;5639;Smith, Tre'Quan;WR;nor;a;det;21.4;5000
4;2020;5424;Diggs, Stefon;WR;buf;a;lvr;20.5;6800
4;2020;5410;Crowder, Jamison;WR;nyj;h;den;20.4;5200
4;2020;5772;Miller, Scott;WR;tam;h;lac;19.3;4100
4;2020;5655;Moore, David;WR;sea;a;mia;18.5;3400
4;2020;5502;Anderson, Robby;WR;car;h;ari;17.9;5400
4;2020;5552;Kupp, Cooper;WR;lar;h;nyg;17.7;6700
4;2020;5725;Metcalf, D.K.;WR;sea;a;mia;17.6;6800
4;2020;5835;Jefferson, Justin;WR;min;a;hou;17.3;5200
4;2020;5799;Zaccheaus, Olamide;WR;atl;a;gnb;16.6;3000
4;2020;5455;Boyd, Tyler;WR;cin;h;jac;16.4;6100
4;2020;5485;Hill, Tyreek;WR;kan;h;nwe;16.4;6900
4;2020;5554;Golladay, Kenny;WR;det;h;nor;16.2;6000
4;2020;3983;Sanders, Emmanuel;WR;nor;a;det;15.3;4800
4;2020;5335;Landry, Jarvis;WR;cle;a;dal;15.28;5100
4;2020;5807;Smith, Jeff;WR;nyj;h;den;15.1;3000
4;2020;5378;Agholor, Nelson;WR;lvr;h;buf;14.4;3500
4;2020;5198;Allen, Keenan;WR;lac;a;tam;14.2;6500
4;2020;5801;Guyton, Jalen;WR;lac;a;tam;14.2;3400
