first_name,last_name,pos,team,salary,fppg,full_name,opp
Chris,Herndon,TE,NYJ,2800,19.3,Chris_Herndon,NWE
Pharaoh,Brown,TE,HOU,2500,15.8,Pharaoh_Brown,TEN
Jared,Cook,TE,NOR,4700,14.3,Jared_Cook,CAR
Dalton,Schultz,TE,DAL,3000,14.0,Dalton_Schultz,NYG
George,Kittle,TE,SFO,6000,13.8,George_Kittle,SEA
Austin,Hooper,TE,CLE,3800,13.7,Austin_Hooper,PIT
Hayden,Hurst,TE,ATL,3700,12.8,Hayden_Hurst,TAM
Donald,Parham,TE,LAC,2900,12.7,Donald_Parham,KAN
Devin,Asiasi,TE,NWE,2500,11.9,Devin_Asiasi,NYJ
Cole,Kmet,TE,CHI,3000,10.1,Cole_Kmet,MIN
Robert,Tonyan,TE,GNB,5000,9.8,Robert_Tonyan,DET
Mike,Gesicki,TE,MIA,4200,9.7,Mike_Gesicki,BUF
Troy,Fumagalli,TE,DEN,2500,9.5,Troy_Fumagalli,LVR
Noah,Fant,TE,DEN,4400,8.8,Noah_Fant,LVR
Dominique,Dafney,TE,GNB,2500,8.3,Dominique_Dafney,DET
Vance,McDonald,TE,PIT,2500,8.3,Vance_McDonald,CLE
Stephen,Anderson,TE,LAC,2600,8.2,Stephen_Anderson,KAN
Dan,Arnold,TE,ARI,3100,7.6,Dan_Arnold,LAR
Tyler,Higbee,TE,LAR,3500,7.1,Tyler_Higbee,ARI
Tyler,Conklin,TE,MIN,3000,7.0,Tyler_Conklin,CHI
Mark,Andrews,TE,BAL,5800,6.7,Mark_Andrews,CIN
T.J.,Hockenson,TE,DET,4600,5.5,T.J._Hockenson,GNB
Durham,Smythe,TE,MIA,2500,5.3,Durham_Smythe,BUF
Brandin,Cooks,WR,HOU,6900,42.6,Brandin_Cooks,TEN
Marvin,Jones,WR,DET,5100,41.0,Marvin_Jones,GNB
Antonio,Brown,WR,TAM,5500,39.8,Antonio_Brown,ATL
Sterling,Shepard,WR,NYG,5200,36.6,Sterling_Shepard,DAL
A.J.,Brown,WR,TEN,7200,34.1,A.J._Brown,HOU
Chris,Godwin,WR,TAM,6600,33.3,Chris_Godwin,ATL
Tyler,Lockett,WR,SEA,5800,33.0,Tyler_Lockett,SFO
Isaiah,McKenzie,WR,BUF,3000,30.5,Isaiah_McKenzie,MIA
Jerry,Jeudy,WR,DEN,4200,30.0,Jerry_Jeudy,LVR
Mike,Williams,WR,LAC,5000,25.8,Mike_Williams,KAN
Justin,Jefferson,WR,MIN,7600,25.3,Justin_Jefferson,CHI
Russell,Gage,WR,ATL,5100,25.2,Russell_Gage,TAM
Laviska,Shenault Jr.,WR,JAC,4200,24.6,Laviska_Shenault Jr.,
Chase,Claypool,WR,PIT,5700,24.1,Chase_Claypool,CLE
Curtis,Samuel,WR,CAR,5300,22.1,Curtis_Samuel,NOR
Gabriel,Davis,WR,BUF,3600,21.7,Gabriel_Davis,MIA
DeVante,Parker,WR,MIA,5300,21.6,DeVante_Parker,BUF
Emmanuel,Sanders,WR,NOR,5500,21.3,Emmanuel_Sanders,CAR
Marquise,Brown,WR,BAL,5900,21.1,Marquise_Brown,CIN
Darnell,Mooney,WR,CHI,4100,20.3,Darnell_Mooney,MIN
JuJu,Smith-Schuster,WR,PIT,6400,18.5,JuJu_Smith-Schuster,CLE
Jakobi,Meyers,WR,NWE,5000,18.26,Jakobi_Meyers,NYJ
D.J.,Moore,WR,CAR,5700,18.1,D.J._Moore,NOR
John,Brown,WR,BUF,3600,17.2,John_Brown,MIA
Marquez,Valdes-Scantling,WR,GNB,3600,17.1,Marquez_Valdes-Scantling,DET
Davante,Adams,WR,GNB,9200,16.6,Davante_Adams,DET
Jarvis,Landry,WR,CLE,6500,16.4,Jarvis_Landry,PIT
Chris,Conley,WR,JAC,3000,15.7,Chris_Conley,
Byron,Pringle,WR,KAN,3900,15.2,Byron_Pringle,LAC
Keke,Coutee,WR,HOU,5600,15.0,Keke_Coutee,TEN
Stefon,Diggs,WR,BUF,8100,14.6,Stefon_Diggs,MIA
T.Y.,Hilton,WR,IND,5800,13.7,T.Y._Hilton,JAX
Bryan,Edwards,WR,LVR,3000,13.1,Bryan_Edwards,DEN
Quintez,Cephus,WR,DET,3000,13.1,Quintez_Cephus,GNB
Lynn,Bowden,WR,MIA,3500,12.98,Lynn_Bowden,BUF
Kendrick,Bourne,WR,SFO,4300,12.6,Kendrick_Bourne,SEA
Diontae,Johnson,WR,PIT,6700,12.6,Diontae_Johnson,CLE
Chad,Beebe,WR,MIN,3000,12.4,Chad_Beebe,CHI
Dante,Pettis,WR,NYG,3000,12.3,Dante_Pettis,DAL
Demarcus,Robinson,WR,KAN,4800,11.8,Demarcus_Robinson,LAC
Calvin,Ridley,WR,ATL,8500,11.6,Calvin_Ridley,TAM
Breshad,Perriman,WR,NYJ,3200,11.4,Breshad_Perriman,NWE
Miles,Boykin,WR,BAL,3000,11.3,Miles_Boykin,CIN
Amari,Cooper,WR,DAL,5800,10.1,Amari_Cooper,NYG
Adam,Thielen,WR,MIN,7400,9.7,Adam_Thielen,CHI
CeeDee,Lamb,WR,DAL,5200,9.6,CeeDee_Lamb,NYG
Richie,James,WR,SFO,3100,9.6,Richie_James,SEA
Malcolm,Perry,WR,MIA,3000,9.5,Malcolm_Perry,BUF
Van,Jefferson,WR,LAR,3000,9.0,Van_Jefferson,ARI
Corey,Davis,WR,TEN,6200,8.9,Corey_Davis,HOU
Michael,Gallup,WR,DAL,5000,8.9,Michael_Gallup,NYG
Tyrie,Cleveland,WR,DEN,3000,8.5,Tyrie_Cleveland,LVR
Trent,Sherfield,WR,ARI,3000,8.4,Trent_Sherfield,LAR
Austin,Carr,WR,NOR,3000,8.1,Austin_Carr,CAR
Marquez,Callaway,WR,NOR,3200,8.1,Marquez_Callaway,CAR
Mike,Evans,WR,TAM,7500,7.6,Mike_Evans,ATL
Robert,Woods,WR,LAR,6300,7.6,Robert_Woods,ARI
DeAndre,Hopkins,WR,ARI,7900,7.5,DeAndre_Hopkins,LAR
Rashard,Higgins,WR,CLE,4500,7.5,Rashard_Higgins,PIT
Jamison,Crowder,WR,NYJ,5000,7.1,Jamison_Crowder,NWE
Robby,Anderson,WR,CAR,5600,7.0,Robby_Anderson,NOR
Josh,Reynolds,WR,LAR,3200,6.9,Josh_Reynolds,ARI
Nelson,Agholor,WR,LVR,5400,6.7,Nelson_Agholor,DEN
Isaiah,Ford,WR,MIA,3000,6.7,Isaiah_Ford,BUF
Braxton,Berrios,WR,NYJ,3300,6.6,Braxton_Berrios,NWE
Tim,Patrick,WR,DEN,4000,6.6,Tim_Patrick,LVR
Zach,Pascal,WR,IND,4200,6.1,Zach_Pascal,JAX
Henry,Ruggs III,WR,LVR,3600,5.8,Henry_Ruggs III,DEN
Allen,Robinson,WR,CHI,7700,5.7,Allen_Robinson,MIN
Tyron,Johnson,WR,LAC,4000,5.5,Tyron_Johnson,KAN
Hunter,Renfrow,WR,LVR,3900,5.4,Hunter_Renfrow,DEN
Keelan,Cole,WR,JAC,3400,5.3,Keelan_Cole,
D.K.,Metcalf,WR,SEA,7300,5.1,D.K._Metcalf,SFO
